Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.throttle,driver_demands.brake
0.120712364,1.761782115,0.005656484,-0.001339343,-0.004153558,1.73281E-05,0.024746112,4690.130944,98.89462869,0
0.119692137,1.762430349,0.004651983,-0.001422742,-0.004317595,1.66768E-05,0.024578521,4691.987405,98.95786392,0
0.118641038,1.76185654,0.005320796,-0.001501599,-0.004473705,1.59734E-05,0.024401551,4693.48435,98.72553614,0
0.117557379,1.758771682,0.00454814,-0.001569435,-0.00462697,1.52301E-05,0.024215129,4695.084107,98.79300735,0
0.116440042,1.756279969,0.00442946,-0.00163393,-0.004773117,1.47161E-05,0.024019183,4696.874279,98.80998938,0
0.115288309,1.755142345,0.003872053,-0.001694993,-0.004908541,1.54664E-05,0.023813705,4698.78666,98.87361715,0
0.114101921,1.755520372,0.003073597,-0.001750163,-0.005031436,1.62497E-05,0.023598962,4700.756522,98.93572266,0
0.112881085,1.756635589,0.002324918,-0.001798912,-0.005141569,1.38937E-05,0.02337521,4702.649047,98.94752283,0
0.111626022,1.757612989,0.001269314,-0.00183696,-0.005240878,1.10055E-05,0.023141991,4704.519233,99.00986696,0
0.110336568,1.758389471,0.000619547,-0.001867547,-0.005330666,1.20431E-05,0.022898873,4706.332547,99.02312767,0
0.109012475,1.758767315,-0.000156991,-0.00188979,-0.005411766,1.48721E-05,0.022646146,4708.159468,99.08648907,0
0.107654016,1.757954551,0.000770203,-0.001903918,-0.005484337,1.45161E-05,0.022384466,4709.64163,98.85392552,0
0.106260538,1.754727612,0.000246296,-0.001907676,-0.005552808,1.14597E-05,0.022113902,4711.235606,98.92102612,0
0.104832036,1.752181609,0.000351551,-0.001906389,-0.005613083,1.00749E-05,0.02183399,4713.023744,98.93813247,0
0.103368388,1.751044173,8.51621E-06,-0.001903624,-0.005663396,1.10105E-05,0.021544607,4714.933353,99.00131182,0
0.101870431,1.751220221,-0.000321578,-0.00189714,-0.005701694,1.14225E-05,0.021245993,4716.834943,99.01432402,0
0.100339149,1.751907255,-0.001093255,-0.001883797,-0.005729653,1.07437E-05,0.020938358,4718.737594,99.07606721,0
0.098775598,1.752793782,-0.001590469,-0.001865883,-0.00574794,1.0005E-05,0.020621713,4720.5799,99.08931961,0
0.097180609,1.75342107,-0.002266549,-0.001840714,-0.005758398,9.32896E-06,0.020296052,4722.420437,99.1518343,0
0.095554812,1.754142577,-0.002766795,-0.001812019,-0.005761869,8.77649E-06,0.019961382,4724.285434,99.21444967,0
0.093899305,1.753721423,-0.001633778,-0.001779443,-0.005758212,9.05604E-06,0.019617753,4725.773655,98.9807249,0
0.092213821,1.75072804,-0.001941835,-0.001738087,-0.005752913,9.40962E-06,0.019265445,4727.356811,99.04724388,0
0.090498561,1.748247261,-0.001586787,-0.001697836,-0.00574304,8.89007E-06,0.018904613,4729.128762,99.06458055,0
0.088754293,1.747068848,-0.001647849,-0.001657049,-0.005726915,8.15307E-06,0.018535323,4731.023073,99.12754924,0
0.08698216,1.747163325,-0.001690081,-0.001616416,-0.005703731,7.66084E-06,0.018157595,4732.914004,99.14093071,0
0.085183689,1.747777279,-0.002179663,-0.001572198,-0.005674027,7.28863E-06,0.017771498,4734.810026,99.20243117,0
0.083360365,1.748615106,-0.002418895,-0.001524527,-0.005639174,6.83551E-06,0.017377131,4736.648804,99.21594716,0
0.081513366,1.749219941,-0.002857536,-0.00147495,-0.005600537,6.31467E-06,0.01697458,4738.486636,99.2781271,0
0.079643784,1.748618757,-0.001619007,-0.001423112,-0.005558879,5.76445E-06,0.016563941,4739.966319,99.04595367,0
0.077735442,1.745548213,-0.00203722,-0.000914064,-0.005496464,5.17719E-06,0.016145288,4741.546042,99.1120981,0
0.075802944,1.742981553,-0.001474601,-0.00110243,-0.005472542,4.88342E-06,0.015718652,4743.318759,99.12985345,0
0.07385117,1.741782832,-0.001453162,-0.00094565,-0.005444796,5.11553E-06,0.015284174,4745.214774,99.19239756,0
0.071883544,1.741896644,-0.001461844,-0.000776994,-0.005412517,5.14795E-06,0.014842097,4747.106857,99.20621365,0
0.06990078,1.742549969,-0.001907576,-0.000684294,-0.005375042,4.52391E-06,0.014392617,4749.001337,99.26731611,0
0.067903282,1.743425238,-0.002085262,-0.000677672,-0.005332252,3.88458E-06,0.013935808,4750.836561,99.28130242,0
0.065891531,1.744058269,-0.002436374,-0.000732408,-0.005285748,3.51241E-06,0.013471739,4752.668471,99.34313252,0
0.06386597,1.744776528,-0.002623947,-0.000822879,-0.005237612,3.14591E-06,0.013000542,4754.522637,99.4050873,0
0.061827825,1.744342475,-0.001204658,-0.000924687,-0.005188411,2.42185E-06,0.012522337,4756.00115,99.171972,0
0.059777453,1.741343387,-0.001240968,-0.001013475,-0.005142453,1.69078E-06,0.01203717,4757.573731,99.23769958,0
