Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.brake,driver_demands.throttle
0.862752885,1.943701009,0.043143492,-0.092586821,-0.159448402,-1.62576E-06,0.125459482,4294.865891,0,100
0.850893508,1.943018344,0.026917347,-0.084016503,-0.154976508,-1.14467E-06,0.126448684,4296.87384,0,100
0.837966926,1.942399847,0.011745537,-0.075629617,-0.149753103,-6.63355E-07,0.127325741,4298.870722,0,100
0.824050115,1.94180744,-0.002295876,-0.067641477,-0.143850843,-1.81821E-07,0.128092464,4300.856603,0,100
0.809224818,1.941241777,-0.015163549,-0.060192282,-0.13734637,2.99932E-07,0.128750925,4302.831572,0,100
0.793575576,1.940698537,-0.026830952,-0.053356816,-0.130318938,7.69405E-07,0.129303411,4304.795958,0,100
0.777188183,1.940171591,-0.037284983,-0.047155336,-0.122848957,9.32558E-07,0.129752419,4306.750379,0,100
0.760148547,1.939655884,-0.04652424,-0.041565048,-0.115016727,8.22767E-07,0.130100589,4308.695693,0,100
0.74254178,1.939148614,-0.054558215,-0.03653177,-0.106901499,7.07174E-07,0.130350659,4310.63288,0,100
0.724451387,1.938648793,-0.06140679,-0.031981102,-0.098580786,5.91529E-07,0.130505523,4312.56294,0,100
0.705958587,1.938156117,-0.067099705,-0.027828614,-0.090129757,4.7583E-07,0.130568201,4314.486831,0,100
0.687139528,1.937670053,-0.071675867,-0.024012285,-0.081622741,3.60078E-07,0.130541789,4316.405452,0,100
0.668049843,1.937189774,-0.075184433,-0.020494482,-0.07314184,2.44273E-07,0.130429466,4318.319652,0,100
0.648739951,1.93671471,-0.077690417,-0.01722669,-0.064766215,1.28415E-07,0.130234466,4320.230224,0,100
