Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance
4.100240019,1.227673289,0.000926663,-0.022072508,0.026657611,5575.165612,0.00138498,0.554898358
4.128045842,1.226558137,0.001003125,-0.021772339,0.025066619,5576.530321,0.001370774,0.565242408
4.155403451,1.225448189,0.001083815,-0.021595646,0.023533295,5577.890647,0.001356561,0.575602349
4.182322958,1.22434289,0.001166746,-0.02149808,0.022065485,5579.246516,0.001342346,0.585959345
4.208820618,1.223241992,0.001249904,-0.021472055,0.020673303,5580.597858,0.001328129,0.596306321
4.234904398,1.222145325,0.001332082,-0.021830816,0.019356652,5581.944613,0.001315641,0.606636269
4.260564885,1.221052176,0.001409432,-0.021606517,0.018121784,5583.286744,0.001307151,0.616946561
4.285822594,1.219961764,0.001481905,-0.02166637,0.016967574,5584.624216,0.001298792,0.627240449
4.310695237,1.218872918,0.001508823,-0.021801996,0.015907186,5585.956991,0.001290432,0.637500294
4.335190726,1.217785026,0.001539285,-0.021785776,0.014946317,5587.285057,0.00128207,0.647721015
4.359314592,1.216696531,0.00157243,-0.021692197,0.014083952,5588.608399,0.001273708,0.657897585
4.383073216,1.215606634,0.001594492,-0.021529533,0.013320492,5589.927001,0.001265348,0.668028395
4.406477317,1.21451597,0.001602168,-0.021258985,0.012659944,5591.24085,0.001256983,0.678117554
4.429547005,1.213425658,0.001598825,-0.020901759,0.012110272,5592.549946,0.001248618,0.688147618
4.452286449,1.212336316,0.001589456,-0.020463181,0.011669945,5593.854302,0.00124174,0.698113766
4.474701427,1.211246767,0.001579235,-0.019948603,0.011336956,5595.153949,0.001238802,0.708011729
4.496802389,1.210155379,0.001571479,-0.01934763,0.011112047,5596.44893,0.001236101,0.717842135
4.518609314,1.209060658,0.001567852,-0.018673772,0.01100061,5597.7393,0.001233399,0.72760991
4.540136807,1.207961888,0.001568259,-0.017954218,0.011004159,5599.025124,0.001230697,0.737300266
4.56139227,1.206858509,0.001571748,-0.017200393,0.011119355,5600.30648,0.001227995,0.746910282
4.582386767,1.205749941,0.001577311,-0.016412964,0.011344436,5601.58346,0.001225293,0.756437085
4.603140432,1.204635536,0.001583961,-0.015561287,0.011683451,5602.856171,0.001222593,0.765883037
4.623686378,1.203514596,0.001591463,-0.014675453,0.012146173,5604.124732,0.001219891,0.775250615
4.646719568,0.922220574,0.363187891,-0.003193642,0.000156301,5514.050257,0.001218026,0.784526596
4.657168876,0.009170211,0.376044997,0.009289575,-0.058341067,5441.071933,0.001218802,0.793708742
4.649210608,-0.789912503,0.480238195,0.004254375,-0.116563493,5426.339071,0.001219762,0.802791786
4.644693624,-1.152786538,0.519837143,-0.014188412,-0.152183448,5437.57629,0.001220722,0.811773675
4.648687783,-1.183682128,0.467458411,-0.031906793,-0.153870185,5453.300228,0.001221683,0.820648012
4.658792303,-1.081607646,0.366361503,-0.037485509,-0.129137172,5463.944347,0.001222645,0.829402275
4.673137451,-0.97612248,0.260815446,-0.036644649,-0.096706946,5468.128735,0.001223606,0.838036732
4.691518052,-0.911948162,0.172451314,-0.032503888,-0.069297843,5467.936414,0.001224568,0.84655473
4.713451365,-0.88669654,0.108050833,-0.013896628,-0.049491234,5465.786704,0.00122553,0.854969123
4.659545699,-2.341160463,0.837520266,-0.158322761,-0.096799444,5345.343734,0.00122763,0.863280248
4.474066641,-5.140316369,1.21236322,-0.379834909,-0.329009763,5278.346897,0.001234138,0.871485663
4.358678734,-6.779647999,1.286678641,-0.486252755,-0.413127394,5258.356071,0.001240951,0.87958531
4.357860266,-7.335873061,1.113566239,-0.4819127,-0.284610535,5249.9616,0.001247758,0.887571033
4.411887017,-7.30571596,0.839936991,-0.426587115,-0.034379348,5241.412504,0.001254553,0.895457707
4.471809029,-7.001634332,0.496195229,-0.319069438,0.249331323,5230.026389,0.001261343,0.903267277
4.512858723,-6.68555298,0.238075244,-0.217011611,0.476589052,5216.731001,0.001268123,0.91103086
4.528953278,-6.543286192,0.06938164,-0.119120502,0.582580527,5203.275609,0.001274895,0.918788183
4.532345155,-6.599569118,-0.041472357,-0.012282746,0.572930184,5190.675085,0.001281659,0.926570249
4.544853955,-6.698996307,-0.152052296,0.111901301,0.517232706,5182.71197,0.00128889,0.934394571
4.5762187,-6.711753476,-0.236112791,0.241571705,0.478352851,5174.573773,0.001299459,0.942263933
4.618084728,-6.64706003,-0.312254244,0.34931614,0.469056424,5166.398236,0.001310241,0.950157307
4.658572541,-6.546485665,-0.376172943,0.425050023,0.478650122,5158.442519,0.00132101,0.95806513
4.692407049,-6.458351815,-0.428050861,0.458728321,0.489653441,5150.702618,0.001331766,0.9659821
4.720448379,-6.413005938,-0.460479443,0.448728156,0.488438914,5143.167049,0.001342509,0.973906767
4.746489368,-6.41061172,-0.477743439,0.415198816,0.471472905,5135.816007,0.001353234,0.981846236
4.77503303,-6.429331187,-0.483493287,0.366152659,0.445119599,5128.611639,0.001363952,0.989800105
4.808474542,-6.444219581,-0.482309593,0.308954559,0.418391569,5121.50401,0.001374659,0.997759094
4.846575555,-6.441739416,-0.477635143,0.248428614,0.396714845,5114.439632,0.001385835,1.005719562
4.895433748,-6.347305394,-0.521281305,0.197838313,0.38660596,5113.85872,0.001401836,1.013677793
4.951723536,-6.154545551,-0.534105931,0.156439256,0.389280512,5111.002736,0.001419038,1.021631463
5.000879491,-5.996517721,-0.533818257,0.114987239,0.379804658,5106.533317,0.001436208,1.029581169
5.042027403,-5.929520829,-0.513308086,0.063858072,0.349664386,5101.343095,0.00145337,1.037536668
5.079344383,-5.938931436,-0.484374069,0.028561362,0.306970328,5095.726121,0.001470514,1.045484356
5.118216571,-5.975153504,-0.450954493,0.007846885,0.267416135,5089.824007,0.00148764,1.053420074
5.161560996,-5.996355894,-0.423769649,-0.013652513,0.24167489,5083.689031,0.001504747,1.061338115
5.207371872,-5.988545321,-0.402258789,-0.023622586,0.22891599,5077.337567,0.001521834,1.069233025
5.253231945,-5.960889718,-0.384517947,-0.030171808,0.222042443,5070.794112,0.00153891,1.077101062
5.318550775,-5.744063834,-0.47376076,-0.002966065,0.228229233,5080.079133,0.001557876,1.084940134
5.400104068,-5.302765554,-0.517744751,0.032471345,0.25452174,5083.737558,0.001578003,1.092761152
5.464053086,-4.960150462,-0.518043892,0.051650247,0.243169377,5083.40872,0.001598126,1.100551537
5.506427719,-4.845286584,-0.47010623,0.052388106,0.178723199,5081.350449,0.001618229,1.108309805
5.538333535,-4.903233225,-0.396525175,0.045606197,0.089440937,5078.318805,0.001638314,1.116030745
5.572103997,-5.001889131,-0.32299568,0.033745662,0.015354434,5074.689156,0.00165838,1.12370376
5.612675226,-5.049621736,-0.264755679,0.017529792,-0.02357036,5070.621616,0.001678428,1.131316328
5.657310981,-5.030056887,-0.222736908,-0.002282176,-0.033022952,5066.174932,0.001698456,1.138858756
5.700629571,-4.975498954,-0.190613643,-0.022000416,-0.032085288,5061.400415,0.001718465,1.146326408
5.803498536,-4.305353141,-0.49203228,0.060711738,0.001391643,5105.624287,0.001743499,1.153727977
5.955126891,-2.867080895,-0.681682878,0.172196362,0.104608884,5130.747163,0.001782029,1.161058317
6.116148719,-1.835687955,-0.737112948,0.316804507,0.142076929,5141.151746,0.001820741,1.168317481
6.219441944,-1.610867173,-0.620438004,0.381185847,0.033128446,5144.693585,0.001859434,1.175508956
6.231463952,-1.893122705,-0.417383149,0.308721724,-0.184954955,5144.991309,0.001898112,1.182624882
6.196408041,-2.235396532,-0.219292786,0.150661615,-0.39489675,5144.1184,0.001936778,1.189644278
6.180721506,-2.366714394,-0.081872357,-0.013057833,-0.497873315,5142.921709,0.001975428,1.196542807
6.194818373,-2.273874681,-0.015955185,-0.140095475,-0.496484044,5141.494854,0.002014059,1.203304958
6.227175518,-2.100918183,0.017331323,-0.245812148,-0.451848021,5139.746963,0.00205267,1.209930178
6.265527204,-1.992727088,0.049925169,-0.316323098,-0.424297298,5137.671082,0.002090124,1.216434559
6.302867176,-1.870224047,0.021459157,-0.332543426,-0.436013972,5144.585525,0.00209761,1.222837019
6.343841377,-1.684633503,0.032240305,-0.33599921,-0.452704787,5147.331079,0.002097619,1.229131973
6.37815958,-1.57060029,0.065696122,-0.317911833,-0.474359367,5146.959396,0.00209763,1.235313589
6.402305029,-1.538068282,0.115466975,-0.296349004,-0.502122321,5145.298956,0.002097645,1.241373957
6.417469884,-1.551139566,0.168269702,-0.269044375,-0.530725205,5143.22922,0.002097662,1.247304798
6.427213534,-1.570847657,0.202967518,-0.224171892,-0.551725168,5141.205814,0.002097682,1.253097994
6.436411162,-1.578169321,0.233779879,-0.192883702,-0.559406983,5139.360472,0.002097706,1.258746454
6.445532492,-1.572124025,0.254624486,-0.162498165,-0.555358704,5137.649959,0.002097732,1.264245139
6.453533197,-1.561788242,0.268388202,-0.134858445,-0.545129793,5135.976348,0.002097761,1.269591086
6.464624394,-1.283580373,-0.059355316,-0.058236464,-0.588915997,5218.049193,0.002095922,1.274783172
6.490535551,-0.550715922,-0.068822456,-0.038172412,-0.572549994,5286.504535,0.002090975,1.279830786
6.512811361,0.044838128,-0.134659667,-0.046761159,-0.494572575,5311.021908,0.00208602,1.284710672
6.531985879,0.397949185,-0.156058185,-0.037829944,-0.43560035,5314.175778,0.002081069,1.289418669
6.546152611,0.559720576,-0.124400949,-0.026832421,-0.413603937,5306.578981,0.00207612,1.293961082
6.55266572,0.596290542,-0.055611868,-0.037380078,-0.415458314,5295.300016,0.002071173,1.298342283
6.550049062,0.56699462,0.018454615,-0.055175579,-0.425061203,5284.921437,0.002066229,1.30256225
6.538570661,0.512140854,0.09269382,-0.099180018,-0.433206724,5277.555825,0.002061287,1.306618885
6.519679039,0.457939483,0.152925208,-0.146731408,-0.435613545,5273.516765,0.002056348,1.310510509
6.495732899,0.416571684,0.196221498,-0.190161208,-0.431780752,5272.041196,0.002051168,1.314237113
6.467537744,0.495249498,0.082527145,-0.228055008,-0.419314355,5308.100803,0.002042573,1.317800264
6.438717655,0.783610099,0.099284173,-0.264568573,-0.372222818,5339.214748,0.002033249,1.321202037
6.413880864,1.037592696,0.08093434,-0.290776406,-0.316006987,5350.885016,0.002023928,1.324457489
6.394856968,1.20170024,0.07420795,-0.269565508,-0.27004795,5352.432138,0.002014601,1.327563501
6.379072011,1.285708883,0.089634264,-0.232703993,-0.23864944,5348.619541,0.002005276,1.330528665
6.362744499,1.310621858,0.120730936,-0.184444382,-0.217799071,5342.838851,0.001995951,1.333359077
6.342920478,1.2989206,0.155615755,-0.143095705,-0.202571669,5337.368251,0.001986626,1.336058092
6.318206288,1.268825076,0.1908457,-0.104327226,-0.188217032,5333.374281,0.001977303,1.338627495
6.288614021,1.235024972,0.220262892,-0.074472949,-0.171925046,5331.142013,0.00196798,1.341068794
6.254339767,1.232277459,0.203970135,-0.05439712,-0.151554582,5339.997692,0.00195873,1.343384009
6.217342957,1.290779528,0.217497658,-0.043924914,-0.120875017,5348.567749,0.001949579,1.345576146
6.180659661,1.352207433,0.214316289,-0.041351999,-0.086301298,5352.396686,0.00194043,1.34764969
