Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
6.4853E-05,40.86710708,-3.78912E-06,-1.40706E-06,1.58692E-06,-33.11054626,0,0,-1.44532E-05,6.34697E-06
6.58118E-05,40.88689688,-3.79341E-06,-1.42826E-06,1.60961E-06,-33.51914533,0,0,-1.45375E-05,6.63578E-06
6.6871E-05,40.90668306,-3.79957E-06,-1.45221E-06,1.63472E-06,-33.92794213,0,0,-1.4627E-05,6.9619E-06
6.80199E-05,40.92646558,-3.80764E-06,-1.47868E-06,1.662E-06,-34.33693658,0,0,-1.47212E-05,7.32122E-06
6.92468E-05,40.94624438,-3.81765E-06,-1.50744E-06,1.69116E-06,-34.74612861,0,0,-1.48197E-05,7.70945E-06
7.05398E-05,40.96601944,-3.82942E-06,-1.53825E-06,1.72191E-06,-35.15551812,0,0,-1.49218E-05,8.1222E-06
7.18863E-05,40.9857907,-3.84284E-06,-1.57086E-06,1.75393E-06,-35.56510506,0,0,-1.5027E-05,8.55491E-06
7.3274E-05,41.00555811,-3.85772E-06,-0.000001605,1.78693E-06,-35.97488934,0,0,-1.51347E-05,9.00352E-06
7.46905E-05,41.02532163,-3.87386E-06,-1.64042E-06,1.8206E-06,-36.38487092,0,0,-1.52441E-05,9.46376E-06
7.61237E-05,41.04508123,-3.89099E-06,-1.67685E-06,1.85464E-06,-36.79504974,0,0,-1.53548E-05,9.93144E-06
7.75615E-05,41.06483686,-3.90883E-06,-1.71403E-06,1.88876E-06,-37.20542574,0,0,-1.54659E-05,1.04025E-05
7.89923E-05,41.08458848,-3.92711E-06,-1.7517E-06,1.92268E-06,-37.61599888,0,0,-1.55769E-05,1.08729E-05
8.04052E-05,41.10433606,-3.94556E-06,-1.78961E-06,1.95613E-06,-38.02676911,0,0,-1.56871E-05,1.13388E-05
8.17896E-05,41.12407956,-3.96399E-06,-1.8275E-06,1.98885E-06,-38.43773639,0,0,-1.57959E-05,1.17966E-05
8.31354E-05,41.14381894,-3.98224E-06,-1.86514E-06,2.02061E-06,-38.84890069,0,0,-1.59024E-05,1.22427E-05
8.44335E-05,41.16355419,-4.00017E-06,-1.90229E-06,2.05117E-06,-39.26026198,0,0,-1.60061E-05,1.26739E-05
8.5675E-05,41.18328526,-4.01767E-06,-1.93872E-06,2.08034E-06,-39.67182022,0,0,-1.61063E-05,1.3087E-05
8.68523E-05,41.20301212,-4.03466E-06,-1.97422E-06,2.10791E-06,-40.08357539,0,0,-1.62024E-05,1.34794E-05
8.79582E-05,41.22273475,-4.05107E-06,-2.00859E-06,2.13373E-06,-40.49552746,0,0,-1.62937E-05,1.38486E-05
8.89864E-05,41.24245312,-4.06681E-06,-2.04166E-06,2.15764E-06,-40.90767641,0,0,-1.63797E-05,1.41924E-05
8.99315E-05,41.26216721,-4.08184E-06,-2.07325E-06,2.17951E-06,-41.32002221,0,0,-1.64598E-05,1.45092E-05
9.07889E-05,41.281877,-4.09608E-06,-2.10323E-06,2.19924E-06,-41.73256486,0,0,-1.65335E-05,1.47973E-05
9.15551E-05,41.30158246,-4.10949E-06,-2.13147E-06,2.21675E-06,-42.14530432,0,0,-1.66003E-05,1.50557E-05
9.22272E-05,41.32128358,-4.12199E-06,-2.15785E-06,2.23196E-06,-42.55824059,0,0,-1.66599E-05,1.52834E-05
9.28033E-05,41.34098035,-4.13354E-06,-2.18228E-06,2.24483E-06,-42.97137363,0,0,-1.67119E-05,1.54799E-05
9.32824E-05,41.36067275,-4.14406E-06,-2.20471E-06,2.25534E-06,-43.38470344,0,0,-1.6756E-05,1.5645E-05
9.3664E-05,41.38036076,-4.15352E-06,-2.22507E-06,2.26349E-06,-43.79823,0,0,-1.67919E-05,1.57786E-05
