Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle,driver_demands.brake
-0.003183404,35.97317143,0.000118239,0.000553361,-34.45426483,-0.007523508,1.27461E-05,0.002139325,0.00376306,100,0
-0.003193664,35.99353322,0.000118356,0.000560213,-34.81391622,-0.007704333,1.26373E-05,0.002165116,0.003750252,100,0
-0.003203349,36.01389298,0.000118448,0.000567044,-35.17377089,-0.007886888,1.25283E-05,0.002190134,0.003736621,100,0
-0.003212424,36.0342507,0.000118513,0.000573851,-35.53382883,-0.008071124,1.24191E-05,0.002214324,0.00372214,100,0
-0.003220856,36.05460638,0.000118551,0.000580632,-35.89409004,-0.008257163,1.23098E-05,0.002237803,0.003706906,100,0
-0.003228612,36.07496,0.000118563,0.000587386,-36.25455451,-0.008444769,1.22004E-05,0.002260332,0.003690855,100,0
-0.00323566,36.09531159,0.000118547,0.000594108,-36.61522226,-0.008634242,1.2091E-05,0.002282208,0.003674116,100,0
-0.003241969,36.11566113,0.000118504,0.000600798,-36.97609328,-0.008825247,1.19815E-05,0.002303093,0.003656595,100,0
-0.003247508,36.13600863,0.000118434,0.000607452,-37.33716758,-0.009018035,1.1872E-05,0.002323235,0.003638446,100,0
-0.003252249,36.1563541,0.000118336,0.000614069,-37.69844516,-0.009212405,1.17624E-05,0.002342431,0.003619547,100,0
-0.003256165,36.17669754,0.00011821,0.000620646,-38.05992602,-0.00940845,1.16527E-05,0.002360775,0.003600068,100,0
-0.00325923,36.19703897,0.000118057,0.000627181,-38.42161018,-0.009606135,1.1543E-05,0.00237823,0.003579866,100,0
-0.00326142,36.21737839,0.000117875,0.000633672,-38.78349762,-0.009805395,1.14332E-05,0.002394732,0.003559129,100,0
-0.003262714,36.23771582,0.000117666,0.000640117,-39.14558836,-0.010006347,1.13233E-05,0.002410397,0.003537695,100,0
-0.003263092,36.25805126,0.000117428,0.000646514,-39.50788239,-0.010208777,1.12134E-05,0.002425014,0.003515764,100,0
-0.003262537,36.27838474,0.000117162,0.000652861,-39.87037972,-0.010412944,1.11043E-05,0.002438846,0.003493163,100,0
-0.003261034,36.29871626,0.000116867,0.000659156,-40.23308035,-0.010618546,1.10012E-05,0.002451591,0.003470098,100,0
-0.003258569,36.31904583,0.000116544,0.000665397,-40.59598426,-0.010825836,1.09017E-05,0.002463505,0.003446394,100,0
-0.003255132,36.33937347,0.000116192,0.000671583,-40.95909148,-0.011034585,1.08022E-05,0.002474367,0.003422243,100,0
-0.003250714,36.35969919,0.000115812,0.000677712,-41.32240198,-0.011244933,1.07026E-05,0.002484318,0.003397487,100,0
-0.003245309,36.38002301,0.000115403,0.000683781,-41.68591578,-0.011456785,1.0603E-05,0.00249327,0.003372298,100,0
-0.003238911,36.40034494,0.000114965,0.00068979,-42.04963285,-0.011670153,1.05033E-05,0.002501241,0.003346534,100,0
-0.00323152,36.42066498,0.000114499,0.000695738,-42.41355319,-0.011885062,1.04036E-05,0.002508264,0.003320353,100,0
