Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
360.2696696,201.0002208,2.6353E-05,10.00004917,-5.71336E-06,-7.51774E-06,2.63529E-06,-358.4585586,-201,0,-0.000209443,0.002095083,8.362050997
360.3696701,201.0002203,2.69179E-05,10.00004832,-5.69409E-06,-7.63846E-06,2.69178E-06,-358.558559,-201,0,-0.00020917,0.002097224,8.362062583
360.4696705,201.0002198,2.74752E-05,10.00004747,-5.67511E-06,-7.75573E-06,2.74751E-06,-358.6585595,-201,0,-0.000208884,0.002099331,8.362074073
360.569671,201.0002193,2.80249E-05,10.00004663,-5.65642E-06,-7.86961E-06,2.80247E-06,-358.75856,-201,0,-0.000208586,0.002101407,8.362085469
360.6696715,201.0002187,2.8567E-05,10.00004581,-5.63803E-06,-7.98015E-06,2.85668E-06,-358.8585605,-201,0,-0.000208277,0.002103451,8.362096771
360.7696719,201.0002182,2.91015E-05,10.00004499,-5.61992E-06,-8.08739E-06,2.91014E-06,-358.9585609,-201,0,-0.000207955,0.002105463,8.362107979
360.8696724,201.0002177,2.96285E-05,10.00004418,-5.60209E-06,-8.19138E-06,2.96284E-06,-359.0585614,-201,0,-0.000207623,0.002107444,8.362119094
360.9696728,201.0002172,3.01481E-05,10.00004338,-5.58456E-06,-8.29217E-06,3.0148E-06,-359.1585618,-201,0,-0.00020728,0.002109392,8.362130117
361.0696732,201.0002166,3.06602E-05,10.00004259,-5.56731E-06,-8.38981E-06,3.066E-06,-359.2585623,-201,0,-0.000206926,0.00211131,8.362141047
361.1696737,201.0002161,3.11648E-05,10.00004181,-5.55034E-06,-8.48434E-06,3.11647E-06,-359.3585627,-201,0,-0.000206562,0.002113197,8.362151887
361.2696741,201.0002155,3.16621E-05,10.00004104,-5.53365E-06,-8.57582E-06,3.1662E-06,-359.4585631,-201,0,-0.000206188,0.002115053,8.362162636
361.3696745,201.000215,3.21521E-05,10.00004027,-5.51724E-06,-8.66428E-06,3.21519E-06,-359.5585635,-201,0,-0.000205805,0.002116878,8.362173295
361.4696749,201.0002145,3.26347E-05,10.00003951,-5.5011E-06,-8.74978E-06,3.26346E-06,-359.658564,-201,0,-0.000205412,0.002118673,8.362183864
361.5696753,201.0002139,3.311E-05,10.00003877,-5.48524E-06,-8.83236E-06,3.31099E-06,-359.7585644,-201,0,-0.00020501,0.002120438,8.362194344
361.6696757,201.0002133,3.35782E-05,10.00003803,-5.46965E-06,-8.91207E-06,3.3578E-06,-359.8585647,-201,0,-0.0002046,0.002122172,8.362204735
361.769676,201.0002128,3.40391E-05,10.0000373,-5.45433E-06,-8.98896E-06,3.4039E-06,-359.9585651,-201,0,-0.000204181,0.002123878,8.362215039
361.8696764,201.0002122,3.44929E-05,10.00003657,-5.43928E-06,-9.06306E-06,3.44927E-06,-360.0585655,-201,0,-0.000203755,0.002125553,8.362225255
361.9696768,201.0002116,3.49395E-05,10.00003586,-5.4245E-06,-9.13443E-06,3.49394E-06,-360.1585659,-201,0,-0.00020332,0.002127199,8.362235385
362.0696771,201.0002111,3.53791E-05,10.00003515,-5.40997E-06,-9.20311E-06,3.5379E-06,-360.2585662,-201,0,-0.000202878,0.002128817,8.362245428
362.1696775,201.0002105,3.58117E-05,10.00003445,-5.39572E-06,-9.26915E-06,3.58116E-06,-360.3585666,-201,0,-0.000202429,0.002130405,8.362255385
362.2696778,201.0002099,3.62373E-05,10.00003376,-5.38172E-06,-9.33258E-06,3.62372E-06,-360.4585669,-201,0,-0.000201973,0.002131965,8.362265257
362.3696781,201.0002094,3.6656E-05,10.00003308,-5.36798E-06,-9.39346E-06,3.66558E-06,-360.5585673,-201,0,-0.00020151,0.002133497,8.362275045
362.4696785,201.0002088,3.70677E-05,10.0000324,-5.35449E-06,-9.45182E-06,3.70676E-06,-360.6585676,-201,0,-0.000201041,0.002135,8.362284748
362.5696788,201.0002082,3.74727E-05,10.00003174,-5.34126E-06,-9.50772E-06,3.74726E-06,-360.7585679,-201,0,-0.000200565,0.002136476,8.362294368
362.6696791,201.0002076,3.78708E-05,10.00003108,-5.32828E-06,-9.56118E-06,3.78707E-06,-360.8585683,-201,0,-0.000200084,0.002137923,8.362303905
362.7696794,201.000207,3.82622E-05,10.00003042,-5.31554E-06,-9.61227E-06,3.82621E-06,-360.9585686,-201,0,-0.000199597,0.002139345,8.362313359
362.8696797,201.0002064,3.8647E-05,10.00002978,-5.30305E-06,-9.66101E-06,3.86469E-06,-361.0585689,-201,0,-0.000199105,0.002140738,8.362322732
362.96968,201.0002059,3.90251E-05,10.00002914,-5.29081E-06,-9.70745E-06,3.90249E-06,-361.1585692,-201,0,-0.000198607,0.002142104,8.362332023
363.0696803,201.0002053,3.93965E-05,10.00002851,-5.27881E-06,-9.75164E-06,3.93964E-06,-361.2585695,-201,0,-0.000198105,0.002143445,8.362341233
363.1696806,201.0002047,3.97615E-05,10.00002789,-5.26705E-06,-9.79361E-06,3.97614E-06,-361.3585698,-201,0,-0.000197598,0.002144758,8.362350362
363.2696808,201.0002041,4.012E-05,10.00002728,-5.25552E-06,-9.8334E-06,4.01199E-06,-361.45857,-201,0,-0.000197086,0.002146047,8.362359412
363.3696811,201.0002035,4.0472E-05,10.00002667,-5.24423E-06,-9.87106E-06,4.04719E-06,-361.5585703,-201,0,-0.00019657,0.002147309,8.362368382
363.4696814,201.0002029,4.08177E-05,10.00002607,-5.23317E-06,-9.90662E-06,4.08176E-06,-361.6585706,-201,0,-0.00019605,0.002148545,8.362377274
363.5696816,201.0002023,4.1157E-05,10.00002548,-5.22234E-06,-9.94013E-06,4.11569E-06,-361.7585709,-201,0,-0.000195527,0.002149757,8.362386087
363.6696819,201.0002018,4.14901E-05,10.00002489,-5.21174E-06,-9.97162E-06,4.149E-06,-361.8585711,-201,0,-0.000195,0.002150942,8.362394823
363.7696821,201.0002012,4.18169E-05,10.00002431,-5.20136E-06,-1.00011E-05,4.18168E-06,-361.9585714,-201,0,-0.000194469,0.002152104,8.362403481
363.8696824,201.0002006,4.21376E-05,10.00002374,-5.1912E-06,-1.00287E-05,4.21375E-06,-362.0585716,-201,0,-0.000193935,0.00215324,8.362412062
363.9696826,201.0002,4.24522E-05,10.00002317,-5.18123E-06,-1.00544E-05,4.24521E-06,-362.1585719,-201,0,-0.000193399,0.002154353,8.362420568
364.0696828,201.0001994,4.27605E-05,10.00002261,-5.17147E-06,-1.00782E-05,4.27604E-06,-362.2585721,-201,0,-0.000192859,0.002155442,8.362428997
364.1696831,201.0001988,4.30629E-05,10.00002206,-5.16189E-06,-1.01002E-05,4.30628E-06,-362.3585723,-201,0,-0.000192317,0.002156506,8.362437352
